
================================================================================
URL: https://tuyensinh.vnu.edu.vn/index.php/Home/listnganh
===== BẢNG DỮ LIỆU =====
Mã ngành | Tên ngành | Chương trình | Đơn vị
QHQ03 | Hệ thống thông tin quản lý (đào tạo bằng tiếng Anh) | Chương trình đặc thù của ĐHQGHN | Trường Quốc tế
QHT43 | Hoá dược** | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Khoa học Tự nhiên
QHT06 | Hoá học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
QHT41 | Hoá học*** | Chương trình đào tạo tiên tiến | Trường Đại học Khoa học Tự nhiên
QHE42 | Kế toán | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Kinh tế
 | Kế toán và Tài chính do ĐH East London, UK cấp bằng chính quy | Chương trình liên kết đào tạo quốc tế | Trường Quốc tế
QHQ02 | Kế toán, Phân tích và Kiểm toán (đào tạo bằng tiếng Anh) | Chương trình đặc thù của ĐHQGHN | Trường Quốc tế
QHT16 | Khí tượng và khí hậu học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
QHT93 | Khoa học dữ liệu* | Chương trình đào tạo thí điểm | Trường Đại học Khoa học Tự nhiên
GD3 | Khoa học giáo dục và khác (gồm 5 ngành: Khoa học giáo dục; Tham vấn học đường; Quản trị chất lượng giáo dục; Quản trị trường học; Quản trị công nghệ giáo dục) | Chương trình đào tạo chuẩn | Trường Đại học Giáo dục
CN8 | Khoa học máy tính | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
QHT98 | Khoa học máy tính và thông tin* | Chương trình đào tạo thí điểm | Trường Đại học Khoa học Tự nhiên
QHT13 | Khoa học môi trường | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
QHX07 | Khoa học quản lý | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHX41 | Khoa học quản lý - CTĐT CLC | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Khoa học Xã hội và Nhân văn
QHT91 | Khoa học thông tin địa không gian* | Chương trình đào tạo thí điểm | Trường Đại học Khoa học Tự nhiên
QHT96 | Khoa học và công nghệ thực phẩm* | Chương trình đào tạo thí điểm | Trường Đại học Khoa học Tự nhiên
7480204 | Khoa học và Kỹ thuật máy tính | Chương trình đặc thù của ĐHQGHN | Trường Đại học Việt Nhật
QHT04 | Khoa học vật liệu | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
QHQ01 | Kinh doanh quốc tế (đào tạo bằng tiếng Anh) | Chương trình đặc thù của ĐHQGHN | Trường Quốc tế
QHE44 | Kinh tế | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Kinh tế
7903124QT | Kinh tế - Tài chính*** | Chương trình liên kết đào tạo quốc tế | Trường Đại học Ngoại ngữ
QHE45 | Kinh tế Phát triển | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Kinh tế
QHE43 | Kinh tế quốc tế | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Kinh tế
7520114 | Kỹ thuật cơ điện tử (Cơ điện tử thông minh và sản xuất theo phương thức Nhật Bản) | Chương trình đặc thù của ĐHQGHN | Trường Đại học Việt Nhật
QHQ12 | Kỹ thuật hệ thống công nghiệp & Logistics | Chương trình đào tạo chuẩn | Trường Quốc tế
7720602 | Kỹ thuật hình ảnh y học | Chương trình đào tạo chuẩn | Trường Đại học Y Dược
CN2 | Kỹ thuật máy tính | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
CN13 | Kỹ thuật năng lượng | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
CN17 | Kỹ thuật Robot | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
7580201 | Kỹ thuật xây dựng | Chương trình đặc thù của ĐHQGHN | Trường Đại học Việt Nhật
7720601 | Kỹ thuật xét nghiệm y học | Chương trình đào tạo chuẩn | Trường Đại học Y Dược
QHT94 | Kỹ thuật điện tử và tin học* | Chương trình đào tạo thí điểm | Trường Đại học Khoa học Tự nhiên
CN11 | Kỹ thuật điều khiển và tự động hóa | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
QHX08 | Lịch sử | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
7380101 | Luật | Chương trình đào tạo chuẩn | Trường Đại học Luật
7380101CLC | Luật chất lượng cao | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Luật
7380110 | Luật kinh doanh | Chương trình đào tạo chuẩn | Trường Đại học Luật
7380109 | Luật thương mại quốc tế | Chương trình đào tạo chuẩn | Trường Đại học Luật
QHX09 | Lưu trữ học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
CN15 | Mạng máy tính và truyền thông dữ liệu | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
QHQ06 | Marketing (Song bằng VNU - HELP) | Chương trình đặc thù của ĐHQGHN | Trường Quốc tế
7900102 | Marketing và Truyền thông | Chương trình chất lượng cao (TT23 CLC**) | Trường Quản trị và Kinh doanh
7220211 | Ngôn ngữ Ả Rập | Chương trình đào tạo chuẩn | Trường Đại học Ngoại ngữ
QHQ09 | Ngôn ngữ Anh (chuyên sâu Kinh doanh và CNTT) | Chương trình đặc thù của ĐHQGHN | Trường Quốc tế
7220201 | Ngôn ngữ Anh CTĐT CLC | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Ngoại ngữ
7220210 | Ngôn ngữ Hàn Quốc CTĐT CLC | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Ngoại ngữ
QHX10 | Ngôn ngữ học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
7220202 | Ngôn ngữ Nga | Chương trình đào tạo chuẩn | Trường Đại học Ngoại ngữ
7220209 | Ngôn ngữ Nhật CTĐT CLC | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Ngoại ngữ
7220203 | Ngôn ngữ Pháp CTĐT CLC | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Ngoại ngữ
7220204 | Ngôn ngữ Trung Quốc CTĐT CLC | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Ngoại ngữ
7220205 | Ngôn ngữ Đức CTĐT CLC | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Ngoại ngữ
QHX11 | Nhân học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHX12 | Nhật Bản học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
7310613 | Nhật Bản học | Chương trình đặc thù của ĐHQGHN | Trường Đại học Việt Nhật
VJU1 | Nông nghiệp thông minh và bền vững | Chương trình đặc thù của ĐHQGHN | Trường Đại học Việt Nhật
QHQ05 | Phân tích dữ liệu kinh doanh (đào tạo bằng tiếng Anh) | Chương trình đặc thù của ĐHQGHN | Trường Quốc tế
QHX13 | Quan hệ công chúng | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
7349002 | Quản lí giải trí và sự kiện | Chương trình đào tạo chuẩn | Trường Khoa học liên ngành và Nghệ thuật
 | Quản lý (Marketing/Khởi nghiệp) - Đại học Keuka (Hoa Kỳ, Mỹ) cấp bằng chính quy | Chương trình liên kết đào tạo quốc tế | Trường Quốc tế
QHQ07 | Quản lý (Song bằng VNU - Keuka) | Chương trình đặc thù của ĐHQGHN | Trường Quốc tế
QHT95 | Quản lý phát triển đô thị và bất động sản* | Chương trình đào tạo thí điểm | Trường Đại học Khoa học Tự nhiên
QHT20 | Quản lý tài nguyên và môi trường | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
QHX14 | Quản lý thông tin | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHX42 | Quản lý thông tin - CTĐT CLC | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Khoa học Xã hội và Nhân văn
QHT12 | Quản lý đất đai | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
QHX15 | Quản trị dịch vụ du lịch và lữ hành | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
7900101 | Quản trị Doanh nghiệp và Công nghệ | Chương trình chất lượng cao (TT23 CLC**) | Trường Quản trị và Kinh doanh
QHX16 | Quản trị khách sạn | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
 | Quản trị Khách sạn, Thể thao và Du lịch do trường ĐH Troy, Hoa Kỳ cấp bằng chính quy | Chương trình liên kết đào tạo quốc tế | Trường Quốc tế
QHE40 | Quản trị kinh doanh | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Kinh tế
QHE89 | Quản trị kinh doanh liên kết quốc tế do Đại học St. Francis, Hoa Kỳ cấp bằng | Chương trình liên kết đào tạo quốc tế | Trường Đại học Kinh tế
QHE80 | Quản trị kinh doanh liên kết quốc tế do Đại học Troy (Hoa Kỳ) cấp bằng | Chương trình liên kết đào tạo quốc tế | Trường Đại học Kinh tế
7900103 | Quản trị Nhân lực và Nhân tài | Chương trình chất lượng cao (TT23 CLC**) | Trường Quản trị và Kinh doanh
7900205 | Quản trị tài nguyên di sản | Chương trình đào tạo chuẩn | Trường Khoa học liên ngành và Nghệ thuật
7349001 | Quản trị thương hiệu | Chương trình đào tạo chuẩn | Trường Khoa học liên ngành và Nghệ thuật
7900189 | Quản trị và An ninh | Chương trình chất lượng cao (TT23 CLC**) | Trường Quản trị và Kinh doanh
QHX17 | Quản trị văn phòng | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
7900204 | Quản trị đô thị thông minh và bền vững | Chương trình đào tạo chuẩn | Trường Khoa học liên ngành và Nghệ thuật
QHX18 | Quốc tế học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHX43 | Quốc tế học - CTĐT CLC | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Khoa học Xã hội và Nhân văn
7720501CLC | Răng hàm mặt** | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Y Dược
QHT08 | Sinh học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
GD2 | Sư phạm Ngữ văn, Lịch sử, Lịch sử và Địa lý (gồm 3 ngành: Sư phạm Ngữ văn; Sư phạm Lịch sử; Sư phạm Lịch sử và Địa lý) | Chương trình đào tạo chuẩn | Trường Đại học Giáo dục
7140231 | Sư phạm tiếng Anh | Chương trình đào tạo chuẩn | Trường Đại học Ngoại ngữ
7140237 | Sư phạm tiếng Hàn Quốc | Chương trình đào tạo chuẩn | Trường Đại học Ngoại ngữ
7140236 | Sư phạm tiếng Nhật | Chương trình đào tạo chuẩn | Trường Đại học Ngoại ngữ
7140234 | Sư phạm tiếng Trung Quốc | Chương trình đào tạo chuẩn | Trường Đại học Ngoại ngữ
GD1 | Sư phạm Toán và Khoa học tự nhiên (gồm 5 ngành: Sư phạm Toán học; Sư phạm Vật lí; Sư phạm Hoá học; Sư phạm Sinh học; Sư phạm Khoa học tự nhiên) | Chương trình đào tạo chuẩn | Trường Đại học Giáo dục
QHE41 | Tài chính - Ngân hàng | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Kinh tế
QHT92 | Tài nguyên và môi trường nước* | Chương trình đào tạo thí điểm | Trường Đại học Khoa học Tự nhiên
QHX19 | Tâm lý học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHX20 | Thông tin – thư viện | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHQ04 | Tin học và Kỹ thuật máy tính (chương trình liên kết quốc tế do ĐHQGHN cấp bằng đào tạo bằng tiếng Anh) | Chương trình liên kết đào tạo quốc tế | Trường Quốc tế
QHT01 | Toán học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
QHT02 | Toán tin | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
QHX21 | Tôn giáo học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
CN12 | Trí tuệ nhân tạo | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
QHX22 | Triết học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHX27 | Văn hóa học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHX23 | Văn học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHT03 | Vật lý học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
CN3 | Vật lý kỹ thuật | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
QHX24 | Việt Nam học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHX25 | Xã hội học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
7720101 | Y khoa | Chương trình đào tạo chuẩn | Trường Đại học Y Dược
QHT18 | Địa chất học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
QHT10 | Địa lí tự nhiên | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
7720301 | Điều dưỡng | Chương trình đào tạo chuẩn | Trường Đại học Y Dược
QHX04 | Đông Nam Á học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHX05 | Đông phương học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn

